phonemes,ground_truth,prediction
harɪs dɛɾ laɪçt fɛɾzɛtst hɪntɜ ziːdoː ʃteːt ɪst kɔmplɛt ɪn ʃvaɾts ɡəklaɪdət,"Harris, der leicht versetzt hinter Sido steht, ist komplett in schwarz gekleidet.","Harris, der leicht versetzt hinter Sido steht, ist komplett in Schwarz gekleidet."
ɛɾ v??də veːɡən aʊsʃraɪtʊŋən ɪn dɛɾ ʃtat hɪnɡərɪçtət,Er wurde wegen Ausschreitungen in der Stadt hingerichtet.,Er wurde wegen Ausschreitungen in der Stadt hingerichtet.
ʃytəlt man ɛs zɛndət ɛs blɪts ʊnt dɔnɜ aʊf diː eːɾdə,"Schüttelt man es, sendet es Blitz und Donner auf die Erde.",Schädelt man es setzte es blinds und dort auf die Erde.
hɔøtə ɪst diːzəs ɡəbiːt fɔn ɪsrɑːɛl anɛktiːɾt,Heute ist dieses Gebiet von Israel annektiert.,Heute ist dieses Gebiet von Israel angesetzt.
ɛndət aɪn viːdɜhoːlʊŋspiːl mɪt ʊnɛntʃiːdən ɡeːt das ʃpiːl diːrɛkt tsʊm ɛlfmeːtɜʃiːsən,Endet ein Wiederholungsspiel mit Unentschieden geht das Spiel direkt zum Elfmeterschießen.,"Endet ein Wiederholungsspiel mit Unentschieden, geht das Spiel direkt zum Elfmeterspielen."
das mysən viːɾ dɔx mɪt bəryksɪçtɪɡən,Das müssen wir doch mit berücksichtigen.,Das müssen wir doch mit berücksichtigen.
ɛs ɡiːpt andərə diː ɪn iːrəm aɪɡənən ɪntərɛsə nɪçt ɛɾvɛːnt vɛɾdən,"Es gibt andere, die in ihrem eigenen Interesse nicht erwähnt werden.","Es gibt andere, die in ihrem eigenen Interesse nicht erwähnt werden."
vɪɾtʃaftlɪç vɑːɾ ɡɾoːs bœɾnɛkə d??ç diː lantvɪɾtʃaft ɡəpɾɛːkt,Wirtschaftlich war Groß Börnecke durch die Landwirtschaft geprägt.,Wirtschaftslich war groß Böhne durch die Landwirtschaft geprägt.
dɑːmɪt vɑːɾ klɑːɾ das zɪç das heːɾ aʊx aʊs deːm lant ɛɾnɛːrən mʊstə,"Damit war klar, dass sich das Heer auch aus dem Land ernähren musste.","Damit war klar, dass sich das Herr auch aus dem Land ernähren musste."
diː fɔn tsɪtseːvɪts bliːbən bɪs tsuːɾ fɛɾtɾaɪbʊŋ dɛɾ anɡəʃtamtən dɔøtʃən bəfœlkərʊŋ bəzɪtsɜ,Die von Zitzewitz blieben bis zur Vertreibung der angestammten deutschen Bevölkerung Besitzer.,Die von Zizwest blieben bis zur Vereinbarung der angestammten deutschen Bevölkerung besichtigen.
dɛɾ fɛɾaɪn aʊs zɑmuːt pɾakɑːn ʃpiːltə ɪn dɛɾ eːɾstən taɪlɛndɪʃən liːɡɑː,Der Verein aus Samut Prakan spielte in der ersten thailändischen Liga.,Der Verein aus Samut Parkain spielte in der ersten tibetischen Liga.
ɛɾ pastə zɪç d??ç aɪnən japɑnɪʃən nɑːmən ʊnt klaɪdʊŋ dɛɾ ɔɾtsanzɛsɪɡən kʊltuːɾ an,Er passte sich durch einen japanischen Namen und Kleidung der ortsansässigen Kultur an.,Er passte sich durch einen japanischen Namen und Kleinung der ostsansässigen Kultur an.
ɛs ɛksɪstiːɾtən tsuːdeːm niːdɜlasʊŋən ɪn mynçən ʊnt tɾiːɾ,Es existierten zudem Niederlassungen in München und Trier.,Es existierten zudem Niederlassungen in München und Trier.
ɪn zaɪnɜ bɪsheːrɪɡən karɪeːrə v??də kɔks tsvaɪmɑːl fyːɾ deːn ɔskɑːɾ noːmiːniːɾt,In seiner bisherigen Karriere wurde Cocks zweimal für den Oscar nominiert.,In seiner bisherigen Karriere wurde Coss zweimal für den Oscar nominiert.
diːs ɛɾmœɡlɪçt aɪnən ɡeːɡənzaɪtɪɡən aʊstaʊʃ fɔn ɡaɪstlɪçən,Dies ermöglicht einen gegenseitigen Austausch von Geistlichen.,Dies ermöglicht einen gegenseitigen Ausschuss von geistlichen.
zɔldɑːtən dɛs reːɡiːmɛnts ʃpɛːtɜ diːviːzjoːn bɾandənb??k kɛmpftən ɪn zɛmtlɪçən fɛlttsyːɡən dɛs dɔøtʃən raɪçəs,"Soldaten des Regiments, später Division, Brandenburg kämpften in sämtlichen Feldzügen des Deutschen Reiches.",Solden des Regiments später Division Bremen kämpfen in sämtlichen Feldzügen des Deutschen Reiches.
dɔɾt laɪteːtə ziː diː fɔɾʃʊŋsaɪnhaɪt bɪoːloːɡɪʃə oːtseːɑnɔɡɾafiː mɪt deːm ʃveːɾpʊŋkt ʃtɔfkɾaɪslɔøfə ɪm meːɾ,Dort leitete sie die Forschungseinheit Biologische Ozeanographie mit dem Schwerpunkt Stoffkreisläufe im Meer.,Dort leitete sie die Forschungseinheit biologischen Ozean-Orthodoxie mit dem Schwehrpunkt Stofkirchen-Läume im Meer.
ʃveːɾ lʊŋənkɾaŋk tɾɑːt ɛɾ ɪn deːn ruːɛstant,Schwer lungenkrank trat er in den Ruhestand.,Schwer Lungenkragt trat er in den Ruhestand.
aʊx diː bəʃtɾɑːlʊŋ fɛɾlɔøft ɛɾfɔlɡɾaɪç zoː das eːvɑː oːpeːriːɾt vɛɾdən kan,"Auch die Bestrahlung verläuft erfolgreich, so dass Eva operiert werden kann.","Auch die Bestellung verläuft erfolgreich, so das Eva operiert werden kann."
ɪn diː ɡlaɪçə tsaɪt fɛlt diː kɔnstɾʊktsjoːn dɛs zyːtlɪçən tsuːɡaŋs,In die gleiche Zeit fällt die Konstruktion des südlichen Zugangs.,In die gleiche Zeit fällt die Konstruktion des südlichen Zugangs.
diː flyːɡəlspɪtsən liːɡən ɪm tsuːzamənɡəleːktən tsuːʃtand alzoː baɪ zɪtsəndən ɪndiːviːduːən ɛtvɑː an dɛɾ ʃvantsspɪtsə,"Die Flügelspitzen liegen im zusammengelegten Zustand, also bei sitzenden Individuen, etwa an der Schwanzspitze.",Die Flügelspitzen liegen im Zusammengelegten Zustand also bei sichtbaren Individuen etwa an der Schwanzspitze.
diːzəs zysteːm v??də ʃoːn ɪn dɛɾ antiːkə fɛɾvɛndət,Dieses System wurde schon in der Antike verwendet.,Dieses System wurde schon in der Antike verwendet.
diː bɾʊstflɔsən hɑːbən tseːn bɪs ɛlf flɔsənstɾɑːlən diː baʊxflɔsən fynf bɪs tseːn,"Die Brustflossen haben zehn bis elf Flossenstrahlen, die Bauchflossen fünf bis zehn.","Die Brustflossen haben zehn bis elf Flockenstreifen, die Bauflossen fünf bis zehn."
diːzəs mɑːl kɔntə ɪç das nɪçt tuːn,Dieses Mal konnte ich das nicht tun.,Dieses Mal konnte ich das nicht tun.
køːdɜ vɛɾdən aʊx ɡənʊtst ʊm tiːrə tsuːɾ bəoːbaxtʊŋ antsuːlɔkən,"Köder werden auch genutzt, um Tiere zur Beobachtung anzulocken.","König werden auch genutzt, um Tiere zur Beobachtung anzulocken."
diː lʊfthanzɑː ʃtɔptə jeːdɔx d??ç aɪnə ɛndərʊŋ dɛɾ alɡəmaɪnən ɡəʃɛftsbədɪŋʊŋən diːzəs fɛɾfɑːrən,Die Lufthansa stoppte jedoch durch eine Änderung der Allgemeinen Geschäftsbedingungen dieses Verfahren.,Die Luftaufnahme stiepte jedoch durch eine Änderung der allgemeinen Geschäftsbedingungen dieses Verfahren.
baɾnaɪ ʃpiːltə fiːlə jɑːrə aɪn vɛɾtfɔləs paraɡoːnbanjoː,Barney spielte viele Jahre ein wertvolles Paragon-Banjo.,Bayern spielte viele Jahre ein wertvolles Paragonation.
an dɛɾ kɔɾzaɪtə dɛs ɡəbɔødəs kɑːmən nɔx diː baɪdən zakɾɪstaɪən hɪntsuː,An der Chorseite des Gebäudes kamen noch die beiden Sakristeien hinzu.,An der Krone des Gebäudes kamen noch die beiden Sakristeien hinzu.
tiːtandɪoːksiːt ɪst nɪçt als vasɜɡəfɛːɾdənt aɪnɡəʃtʊft,Titandioxid ist nicht als wassergefährdend eingestuft.,Titandioxid ist nicht als Wassergefährdet eingestellt.
ɛɾ vɑːɾ dɛɾ bɾuːdɜ dɛs bərʊfsɡɔlfʃpiːlɜs ɡɑriː (en)pleɪə(de),Er war der Bruder des Berufsgolfspielers Gary Player.,Er war der Bruder des Berufsgangsspielers Gare Pleie.
aʊsɜdeːm fɛɾfyːkt dɛɾ ɔɾt yːbɜ bʊsfɛɾbɪndʊŋən nɑːx fraɪbɛɾk çɛmnɪts øːdeːrɑːn,"Außerdem verfügt der Ort über Busverbindungen nach Freiberg, Chemnitz, Oederan.",Außerdem verfügt der Ort über Busverbindungen nach Freiberg Chemnitz Österreich.
ɡɾɑfɪʃ vɑːɾ das ʃpiːl daŋk dɛɾ dɾeːamkast(en)hɑːdweə(de) fyːɾ dɑmalɪɡə fɛɾhɛltnɪsə zeːɾ anʃpɾɛçənt,Grafisch war das Spiel dank der Dreamcast-Hardware für damalige Verhältnisse sehr ansprechend.,Grafisch war das Spiel Dank der Drehmark-Hadee für damalige Verhältnisse sehr ansprechend.
ɛʃliːman ʃtuːdiːɾtə an dɛɾ uːniːvɛɾziːtɛːt bɛɾn,Aeschlimann studierte an der Universität Bern.,Erschienmann studierte an der Universität Berlin.
mɪt nʊl jɑːrən fɛŋt das leːbən an hɛɾ jyɾɡəns,"Mit null Jahren fängt das Leben an, Herr Jürgens!",Mit Null Jahren fängt das Leben an Herr Jürgens.
oːbɜmɔʃəl bəzɪtst aɪnə ɡɾʊntʃuːlə ʊnt aɪnən kɪndɜɡaɾtən,Obermoschel besitzt eine Grundschule und einen Kindergarten.,Obermuschel besitzt eine Grundschule und einen Kindergarten.
ɛɾ ziːktə dɔɾt ʊntɜ ɛtvɑːs ɡlyklɪçən ʊmʃtɛndən ɪn dɛɾ ɔfənən ɡəvɪçtsklasə,Er siegte dort unter etwas glücklichen Umständen in der offenen Gewichtsklasse.,Er siegte dort unter etwas glücklichen Umständen in der offenen Gewichtsklasse.
eːɾst jɛtst fiːl miːɾ aʊf das deːm man aɪn fuːs feːltə,"Erst jetzt viel mir auf, dass dem Mann ein Fuß fehlte.","Erst jetzt fiel mir auf, dass dem man ein Fuß fehlte."
ɪç kɔmə nuːn tsʊm tsuːɡaŋ tsuː deːn ɡəvɛsɜn ʊnt deːn bəʃtɛndən,Ich komme nun zum Zugang zu den Gewässern und den Beständen.,Ich komme nun zum Zugang zu den Gewessern und den Bestehen.
tsuːnɛçst zɛtstə ziː iːrə mɪtəl yːbɜviːɡənt fyːɾ deːn viːdɜaʊfbaʊ ɔøroːpɑːs aɪn,Zunächst setzte sie ihre Mittel überwiegend für den Wiederaufbau Europas ein.,Zunächst setzte sie ihre Mittel überwiegend für den Wiederaufbau Europas ein.
diː poːpuːlɑriːziːrʊŋ dɛs viːkiːkɔntsɛptəs ɡeːt aʊf diː (en)ɒnlaɪn(de)ɛntsykloːpɛːdiː viːkiːpeːdiːɑː tsuːryk,"Die Popularisierung des Wiki-Konzeptes geht auf die Online-Enzyklopädie ""Wikipedia"" zurück.",Die Popularisierung des Viki-Konzeptes geht auf die Synchron-Nyklopädie Viki-Pedia zurück.
an dɛɾ kystə ʊnt deːn fjɔɾdən kan man fiːlə zeːvøːɡəl bəoːbaxtən,An der Küste und den Fjorden kann man viele Seevögel beobachten.,An der Küste und den Felsen kann man viele Seevögel beobachten.
dɛɾ rykvɛɾtsɡaŋ ɪst veːdɜ zynkɾoːniːziːɾt nɔx ʃrɛːk fɛɾtsɑːnt,Der Rückwärtsgang ist weder synchronisiert noch schräg verzahnt.,Der Rückwärtsgang ist wieder synonymisiert noch stark verwandt.
diː noːt ɪm zuːdɑːn ɪst ɡants ɑkuːt ɡəvɔɾdən,Die Not im Sudan ist ganz akut geworden.,Die Not im Sudan ist ganz akut geworden.
nɑːx deːm bəzuːx dɛɾ ɡɾʊntʃuːlə maxtə tsaɪdlɜ aɪnə leːrə als fɛɾbɜ,Nach dem Besuch der Grundschule machte Zeidler eine Lehre als Färber.,Nach dem Besuch der Grundschule machte Zeiler eine Lehre als Verber.
diː baɪ diːzɜ ɡəleːɡənhaɪt ɡəhaltənə reːdə v??də fɔn dɛɾ katoːlɪʃən uːniːvɛɾziːtɛːt løːvən aʊfbəvɑːɾt,Die bei dieser Gelegenheit gehaltene Rede wurde von der Katholischen Universität Löwen aufbewahrt.,Die bei dieser Gelegenheit gehaltene Rede wurde von der katholischen Universität Löwen aufgebaut.
mɪt bəkoːmɪŋ fɛɾœfəntlɪçtə nɛtflɪks aɪnə doːkuːmɛntatsjoːn tsuː mɪçɛlə oːbamɑːs aʊtoːrɛnleːzʊŋən fyːɾ iːrə ɡlaɪçnamɪɡən meːmoːiːrən,Mit Becoming veröffentlichte Netflix eine Dokumentation zu Michelle Obamas Autorenlesungen für ihre gleichnamigen Memoiren.,"Mit Bekoming veröffentlichte Netflix eine Dokumentation zu leichte, obas Attributenlesungen für ihre gleichnamigen Medien."
zɛts dɪç bɪtə ɡərɑːdə hɪn,Setz dich bitte gerade hin!,Seither dich bitte gerade hin.
hiːɾbaɪ vɛɾdən baɪʃpiːlsvaɪzə laʊftsaɪt møːklɪçə vɑrənɡɾʊpən ʊnt diː dɑːtsuː fɛɾaɪnbaɾtən rɑbatə fɪksiːɾt,"Hierbei werden beispielsweise Laufzeit, mögliche Warengruppen und die dazu vereinbarten Rabatte fixiert.",Hierbei werden beispielsweise Laufzeit mögliche Warengruppen und die dazu vereinbaren Rahmene diskutiert.
hɪnɡeːɡən ɪst ziː ɪn vasɜ diːtyːleːtɜ ʊnt hɛksɑːn pɾaktɪʃ ʊnløːzlɪç,"Hingegen ist sie in Wasser, Diethylether und Hexan praktisch unlöslich.","Hingegen ist sie in Wasser, Dizeller und Heckasan praktisch unlöslich."
diː fɛstzɪtsəndə nɔtɡeːmaɪnʃaft vɪɾt ʃtyk fyːɾ ʃtyk fɔn aɪnəm ɡəhaɪmnɪsfɔlən mœɾdɜ deːtsiːmiːɾt,"Die festsitzende Notgemeinschaft wird, Stück für Stück, von einem geheimnisvollen Mörder dezimiert.",Die feststehende Notgemeinschaft wird Stück für Stück von einem Geimnisvollen Körper defiziert.
ʊntɜ diːzɜ bətsaɪçnʊŋ ɛɾʃaɪnən ziː ɪn ʃpiːlplɛːnən ʊnt ziːɡɜlɪstən,Unter dieser Bezeichnung erscheinen sie in Spielplänen und Siegerlisten.,Unter dieser Bezeichnung erscheinen sie in Spielfilmen und Schiedslisten.
diː zaʊnɑːlandʃaft fɛɾfyːkt yːbɜ vaɪtərə klaɪnə bɛkən,Die Saunalandschaft verfügt über weitere kleine Becken.,Die Sauerlandschaft verfügt über weitere kleine Brücken.
aʊsɜdeːm ɡəhœɾtə ɛɾ deːm rɑːt dɛɾ ʃtat balvə an,Außerdem gehörte er dem Rat der Stadt Balve an.,Außerdem gehörte er dem Rat der Stadt Balve an.
ɪn zaɪnɜ eːɾstən zɛːzɔ̃ ʃtiːk ɛɾ mɪt poːliːkə ɪn diː tsvaɪtə liːɡɑː ap,In seiner ersten Saison stieg er mit Police in die Zweite Liga ab.,In seiner ersten Saison stieg er mit Politike in die zweite Liga ab.
ɪm fluːk zɪnt zɪçəlfœɾmɪɡə ɡɛlplɪçə aptsaɪçən ɪm bɑzɑːlən bəraɪç dɛɾ ɔøsərən hantʃvɪŋən zeːən,Im Flug sind sichelförmige gelbliche Abzeichen im basalen Bereich der äußeren Handschwingen sehen.,Im Flug sind sechselförmige gelbliche Angaben im Bahamas Bereich der äußeren Handschwingen sehen.
neːbən zaɪnəm ɛɾtsɛːlərɪʃən vɛɾk ʃraɪpt ɛɾ reːɡəlmɛːsɪç fyːɾ das teːɑːtɜ,Neben seinem erzählerischen Werk schreibt er regelmäßig für das Theater.,Neben seinem erzählerischen Werk schreibt er regelmäßig für das Theater.
das eːeːpɑːɾ ɛlbɜs ɪst kɪndɜloːs ʊnt voːnt ɪn dysəldɔɾf,Das Ehepaar Elbers ist kinderlos und wohnt in Düsseldorf.,Das Ehepaar Ebers ist Kinderlos und wohnt in Düsseldorf.
ɪç kan maɪn haʊs nɪçt viːdɜfɪndən,Ich kann mein Haus nicht wiederfinden.,Ich kann mein Haus nicht wiederfinden.
zaɪn zoːn bʊtʃ vɑːn bɾeːdɑː kɔlf ʊnt zaɪn ɡlaɪçnamɪɡɜ ɛnkəl jɑːn v??dən ɛɾfɔlɡɾaɪçə baskɛtbaltɾɛnɜ,"Sein Sohn ""Butch van Breda Kolff"" und sein gleichnamiger Enkel ""Jan"" wurden erfolgreiche Basketballtrainer.",Sein Sohn Buddh war Brada Colf und sein gleichnamiger Enkel Jan wurden erfolgreiche Bastballerinnen.
ɛs ɡəlɪŋt iːm jeːdɔx nɪçt zaɪnə reːdaktsjoːn tsuː fɪndən,"Es gelingt ihm jedoch nicht, seine Redaktion zu finden.",Es gelingt ihm jedoch nicht seine Resolution zu finden.
aniːtɑː aɪçhɔɾn ʃtamt aʊs dɛɾ oːbɜpfalts,Anita Eichhorn stammt aus der Oberpfalz.,Anna Eichhorn stammt aus der Oberpfalz.
dɔøtʃə ʊnt frantsoːzən vyːtətən apvɛksəlnd ɪm ɔɾt aphɛŋɪç dɑːfɔn veːɾ ɡərɑːdə diː oːbɜhant hatə,"Deutsche und Franzosen wüteten abwechselnd im Ort, abhängig davon wer gerade die Oberhand hatte.","Deutsche und Franzosen wälten abwechselnd im Ort abhängig davon, wer gerade die Oberhand hatte."
loːrɑːs hatə das amt bɪs tsuː zaɪnəm toːt ɪnə,Loras hatte das Amt bis zu seinem Tod inne.,Oliver hatte das Amt bis zu seinem Tod inne.
diː mɛːsɪç vʊxskɾɛftɪɡə ʃpɛtɾaɪfəndə zɔɾtə liːfɜt ɡlaɪçmɛːsɪç hoːə ɛɾtɾɛːɡə,"Die mäßig wuchskräftige, spätreifende Sorte liefert gleichmäßig hohe Erträge.",Die maßg wissenschaftliche steuernde Sorge liefert gleichmäßig hohe Erträge.
fiːlən daŋk tɑoːiːzeːax ɑːɜn,"Vielen Dank, Taoiseach Ahern.",Vielen Dank dazu außern.
ziː bəʃraɪpt mɪndɛstanfɔɾdərʊŋən diː diː zɪçɜhaɪtsɡ??tə fɔn pɛɾzoːnənkɾaftvɑːɡən nʊtsfɑːɾtsɔøɡən lastkɾaftvɑːɡən ʊnt ɔmniːbʊsə ɛɾfylən mysən,"Sie beschreibt Mindestanforderungen, die die Sicherheitsgurte von Personenkraftwagen, Nutzfahrzeugen, Lastkraftwagen und Omnibusse erfüllen müssen.","Sie beherrscht Millionenvorforderungen, die die Sicherheit von Personenkraftwagen, Nutzfahrzeugen, Lastkraftwagen und OMNIbuse erfüllen müssen."
k??ts dɑːraʊf mʊstə ɛɾ zaɪnə karɪeːrə alɜdɪŋs aʊfɡɾʊnt aɪnɜ ʃveːrən kniːfɜlɛtsʊŋ bəɛndən,Kurz darauf musste er seine Karriere allerdings aufgrund einer schweren Knieverletzung beenden.,Kurz darauf musste er seine Karriere allerdings aufgrund einer schweren Knieverletzung beenden.
andeːrɜzaɪts ɛɾhaltən viːɾ aɪn zeːɾ vɪçtɪɡəs zɪɡnɑːl,Andererseits erhalten wir ein sehr wichtiges Signal.,Andererseits erhalten wir ein sehr wichtiges Signal.
peːrɪoːdə dɛs tɾɪɛntɜ kɔntsiːls taɪl,Periode des Trienter Konzils teil.,Pierre-Ode des Trainers teils teil.
zoː zɪnt ziː diː frankoːfoːnən ʊnt ʃveːɾ pɪɡməntiːɾtən boːneːeːats,"So sind sie, die frankophonen und schwer pigmentierten ""Boneheads"".",So sind sie die Francophonen und schwer nominierten Booneeats.
dɛɾ tɛmpəl v??də fyːɾ deːn ʃtɑːts ʊnt ɑːnənkʊlt fɛɾvɛndət,Der Tempel wurde für den Staats- und Ahnenkult verwendet.,Der Tempel wurde für den Staat und Anengut verwendet.
ɛɾ laɪteːtə ɛɾdeː,Er leitete rd.,Er leitete Erde.
zɛrɑːnoː vɑːɾ dɛɾ eːɾstə eːvaŋɛliːkɑːlə pɾɛːziːdɛnt ɪn lɑtaɪnɑmeːriːkɑː,Serrano war der erste evangelikale Präsident in Lateinamerika.,Serrano war der erste evangelikale Präsident in Lateinamerika.
diː hoːxʃuːlə ɪst mɪtɡliːt dɛɾ ɪntɜnatsjoːnɑːl (en)ɐsəʊsɪeɪʃən ɒv(de) uːniːvɛɾziːtiːs,Die Hochschule ist Mitglied der International Association of Universities.,Die Hochschule ist Mitglied der International europäischen of Universität.
man mʊs mɪt zaɪnɜ poːliːtɪʃən paɾtaɪ nɪçt fɔlkɔmən aɪnfɛɾʃtandən zaɪn,Man muss mit seiner politischen Partei nicht vollkommen einverstanden sein.,Man muss mit seiner politischen Partei nicht vollkommen einverstanden sein.
diː roːtən vɔlən aʊx aɪn toːɾ ʃiːsən,Die Roten wollen auch ein Tor schießen.,Die Roten wollen auch ein Tor schieben.
ʊntɜ deːm daxfɛnstɜ v??dən tsvaɪ mɪt eːlɛktɾoːmoːtoːrən bətɾiːbənə klaɪnə platfɔɾmən ɪnstaliːɾt,Unter dem Dachfenster wurden zwei mit Elektromotoren betriebene kleine Plattformen installiert.,Unter dem Dörfer wurden zwei mit Elektromotoren betriebene kleine Plattenelementen integriert.
als tsaɪttsɔøɡə bərɪçtətə ɛɾ ʃpɛːtɜ fɔn zaɪnən ɛɾleːpnɪsən ʊnt ɛɾtsiːltə dɑːmɪt aɪnə bɾaɪtə reːzoːnants,Als Zeitzeuge berichtete er später von seinen Erlebnissen und erzielte damit eine breite Resonanz.,Als Zeitzeuge richtete er später von seinen Eltern und erzielte damit eine breite Reformation.
diː pɾoːvɪnts koːn buːriː liːkt ɪm ɔstən dɛɾ tsɛntɾɑːlreːɡioːn fɔn taɪlant,Die Provinz Chon Buri liegt im Osten der Zentralregion von Thailand.,Die Provinz Konburi liegt im Osten der Zentralregion von Thailand.
diːs ɪst ɪn k??tsfasʊŋ dɛɾ ɪnhalt dɛɾ ʃtɛlʊŋnɑːmə dɛs ɪnstiːtuːtsjoːnɛlən aʊsʃʊsəs hɛɾ pɾɛːziːdɛnt,"Dies ist in Kurzfassung der Inhalt der Stellungnahme des Institutionellen Ausschusses, Herr Präsident.","Dies ist in Kurzfassung der Inhalt der Struktur des Institutionellen Ausschusses, Herr Präsident."
iːrə aʊfɡɑːbən yːbɜnɑːmən danax andərə pɪoːniːraɪnhaɪtən,Ihre Aufgaben übernahmen danach andere Pioniereinheiten.,Ihre Aufnahmen übernahmen danach andere Personalreisen.
diː ɪntɜmoːdɑːlə kɔŋɡɾuːɛnts ʃtyndə jeːdɔx aʊx tsuː aɪnəm rɑdiːkɑːlən kɔnstɾʊktiːvɪsmʊs nɪçt ɪm viːdɜʃpɾʊx,Die intermodale Kongruenz stünde jedoch auch zu einem radikalen Konstruktivismus nicht im Widerspruch.,Die internationale Konjunktions steckte jedoch auch zu einem radikalen Konstruktivismus nicht im Widerspruch.
diːzə ɪnzəln zɪnt taɪl aɪnɜ fɛɾzʊnkənən lantbɾykə tsvɪʃən zaɾdiːnɪən ʊnt kɔɾziːkɑː,Diese Inseln sind Teil einer versunkenen Landbrücke zwischen Sardinien und Korsika.,Diese Inseln sind Teil einer versunkenen Landbrücke zwischen Serbien und Korsia.
hiːɾ kɑːm zaɪnə ʃvɛstɜ ɛlsbeːt tsuːɾ vɛlt,Hier kam seine Schwester Elsbeth zur Welt.,Hier kam seine Schwester Elsbeth zur Welt.
diː eːɾstə manʃaft ʃpiːlt ɪn dɛɾ hœkstən nɔɾveːɡɪʃən liːɡɑː tɔpzeːriːən,Die erste Mannschaft spielt in der höchsten norwegischen Liga Toppserien.,Die erste Mannschaft spielt in der höchsten norwegischen Liga Topserien.
diː rɪçtliːnɪə kan nɪçt ɪn iːɾ ɡeːɡəntaɪl fɛɾkeːɾt vɛɾdən,Die Richtlinie kann nicht in ihr Gegenteil verkehrt werden.,Die Richtlinie kann nicht in ihr Gegenteil verkehrt werden.
ɛs vɑːɾ aɪnə ʃtɪftʊŋ dɛɾ pfaltsɡɾɛːfɪn aɡnəs baɪ raɪn,Es war eine Stiftung der Pfalzgräfin Agnes bei Rhein.,Es war eine Stimmung der Pfalzgraf Agnes bei Rhein.
ɡɾɔs bəɡan iːrə karɪeːrə an dɛɾ jeːzuːɪt (en)haɪ(de) ʃoːl ɪn iːrɜ haɪmatstat,Gross begann ihre Karriere an der Jesuit High School in ihrer Heimatstadt.,Gross begann ihre Karriere an der Jesuit High School in ihrer Heimatstadt.
lɛtstəntlɪç vɑːɾ friːdɾɪç ɡətsvʊŋən mansfɛlts tɾʊpən aʊs zaɪnəm diːnst tsuː ɛntlasən,"Letztendlich war Friedrich gezwungen, Mansfelds Truppen aus seinem Dienst zu entlassen.","Letztendlich war Friedrich Getzungen, manchmals Truppen aus seinem Dienst zu entlassen."
dɛɾ ʃaft vaɪst fɛɾtsiːɾʊŋən aʊf,Der Schaft weist Verzierungen auf.,Der Schaft weist Verbesserungen auf.
aʊsɜdeːm tɾɛːkt das dɔɾtɪɡə kɾɪstiːɑːnvaɪzəɡymnɑziːʊm zaɪnən nɑːmən,Außerdem trägt das dortige Christian-Weise-Gymnasium seinen Namen.,Außerdem trägt das dortige Kirchenweise-Gymnasium seinen Namen.
ɛɾ fɛɾfastə dɾeːbyːçɜ fyːɾ kiːnoː ʊnt fɛɾnzeːən roːmɑːnə ʊnt ɡədɪçtə,"Er verfasste Drehbücher für Kino und Fernsehen, Romane und Gedichte.",Er verfasste Drehbücher für Kino und Fernsehen Romane und Gedichte.
ɛs fɔlktən vaɪtərə hoːtəls ɪn ʃtɛtən ʊnt an atɾaktiːvən ʃtandɔɾtən ɪn deːn bɛɾɡən,Es folgten weitere Hotels in Städten und an attraktiven Standorten in den Bergen.,Es folgten weitere Häuser in Städten und an attraktiven Standorten in den Bergen.
diː nɔøən mɪtɡliːtstɑːtən mœçtən deːm ʃɛŋənraʊm mœɡlɪkst balt baɪtɾətən,Die neuen Mitgliedstaaten möchten dem Schengen-Raum möglichst bald beitreten.,Die neuen Mitgliedertaaten möchten dem Schneiderraum möglichst bald beitreten.
diː ɛndeːrʊŋsfoːɾʃlɛːɡə dɛs rɑːtəs zɪnt baɪ ʊns aʊf ʃtaɾkə foːɾbəhaltə ɡəʃtoːsən,Die Änderungsvorschläge des Rates sind bei uns auf starke Vorbehalte gestoßen.,Die Änderungsvorschläge des Rates sind bei uns auf starke Vorbehalte gestossen.
das hɔlts v??də nɑːx ɛɾf??t fɛɾfraxtət,Das Holz wurde nach Erfurt verfrachtet.,Das Holz wurde nach Erfurt verfrachtet.
ɪm ɡeːɡəntaɪl diː kɔmpɾoːmɪsə tɾɑːɡən eːɜ tsuːɾ ʃtɛɾkʊŋ diːzɜ bɔtʃaftən baɪ,Im Gegenteil die Kompromisse tragen eher zur Stärkung dieser Botschaften bei.,Im Gegenteil die Kommissione tragen eher zur Stellung dieser Datenbanken bei.
das miːliːtɛɾɡəlɛndə diːntə tsuːnɛçst als ɛɾpɾoːbʊŋs ʊnt ʃiːsplats fyːɾ ɪn aɪzənax ɡəfɛɾtɪçtə aɾtɪleːriːɡɛʃytsə,Das Militärgelände diente zunächst als Erprobungs- und Schießplatz für in Eisenach gefertigte Artilleriegeschütze.,Das Militärgelände diente zunächst als Expansions- und Schießplatz für in Eisenach gefertigte Architekturgebäude.
aɪnə dɛɾ vɪçtɪçstən frɑːɡən ɪst nɑːtyːɾlɪç aʊx diː ʃpaɪçərʊŋ dɛɾ eːnɛɾɡiː,Eine der wichtigsten Fragen ist natürlich auch die Speicherung der Energie.,Eine der wichtigsten Fragen ist natürlich auch die Speicherung der Energie.
