phonemes,ground_truth,prediction
fʃɨstkʲɛ ɕtɕanɨ bɨwɨ pɔkrɨtɛ litɛralɲʲɛ ɔt pɔsatski pɔ strɔp kɕɔ̃ʃkami,Wszystkie ściany były pokryte literalnie od posadzki po strop książkami.,Wszystkie ściany były pokryte literalnie od poskak po stron kłóżkami.
pɔla muɕawa ɲim pɔtʃɔ̃sadʑ zaɲim ɔpʃɨtɔmɲʲaw,"Pola musiała nim potrząsać, zanim oprzytomniał.","Polia musiała nim począć, zanim oprzytomniał."
ix kuxarka marɨɕa,Ich kucharka Marysia.,Ich kucharka Marysia.
najpʲɛrf tʃɛba bɛɲdʑɛ pɔvʲɛdʑɛtɕ mamjɛ,Najpierw trzeba będzie powiedzieć mamie.,Najpierw trzeba będzie powiedzieć mamie.
zamkɲʲɛntɛ pɔvʲɛki bwɨʃtʃawɨ jaɡ zrɔbjɔnɛ z bjawɛɡɔ mɛtalu,"Zamknięte powieki błyszczały, jak zrobione z białego metalu.",zamknięte powieki błysczały jak zrobione z białego metalu.
ta sama tsɔː u ɛmila na fɔrtɛpʲaɲʲɛ,"Ta sama, co u Emila na fortepianie.",Ta sama co u Emila na Federanie
dɔmb zaɕmʲawa ɕɛ naɡlɛ dʑivɔʒɔna i napɛwɲiwa vnɛntʃɛ vɔra klaɕɲʲɛɲtɕɛm drɔbnɨɣ dwɔɲi,Dąb? — zaśmiała się nagle dziwożona i napełniła wnętrze wora klaśnięciem drobnych dłoni.,Dość zaśmiała się nagle dziwożona i napełniła wnęcze wola klaśnieniem drobnych dłoni.
tɔ pravdɔpɔdɔbɲʲɛ bɛɲdʑɛ najlɛpʃɛ ɔkrɛɕlɛɲʲɛ,To prawdopodobnie będzie najlepsze określenie.,To prawdopodobnie będzie najlepsze okrycie
i ruxɛm rɛŋki fskazujɛ ruinɨ,I ruchem ręki wskazuję ruiny.,I ruchem ręki wskazuje ruiny.
tsɔɕ taɡ dwuɡɔ ɕɛdʑaw,Coś tak długo siedział?,Coś tak długo siedział.
tɨlkɔ ʃɨbɔvʲɛdʑ vitka ftɕɔ̃ʃ spada bɔ vitɛk ɲʲɛ umjɛ ʒutsatɕ,"Tylko szybowiec Witka wciąż spada, bo Witek nie umie rzucać.","Tylko zobaczyć wizka wciąż spada, bo wizk nie umie rzucać."
mawɨ uɕad,Mały usiadł.,Mamy usiadł.
mɔʒɛ i ɲʲɛbɔ w ɔddali spajawɨ ɕɛ s sɔbɔ̃ bɛs ɕladu,Morze i niebo w oddali spajały się z sobą bez śladu,Może i niebo w oddali spajały się z sobą bez śladu.
tsut staw ɕɛ,Cud stał się.,Cóż stał się?
skɔtʃɨw pɔt ɔknɔ xawupɨ i natstaviw vʲɛlkix uʃu,Skoczył pod okno chałupy i nadstawił wielkich uszu.,Skoczył pod okno chłopy i natstawił wielkich uszu.
vʑɔw jɔ̃ pɔt rɛŋkɛ,Wziął ją pod rękę.,Wziął ją pod rękę.
ɲʲɛ spɔtɨkali ɕɛ tʃɛ̃stɔ,Nie spotykali się często.,Nie spotyli się często.
i dux jɛɡɔː unɔɕiw ɕɛ pɔnat ɕɲʲɛɡʲɛm i mʲastɛm,I duch jego unosił się ponad śniegiem i miastem.,"I duch jego unosił się, ponad śniegiem i miastem."
ɲʲɛ ɲʲɛ tutaj f tɨw ɔt tamtɛɡɔ fɔlvarku,"Nie, nie tutaj, — w tył od tamtego folwarku!",Nie nie tutaj w tył od tamtego folwarku.
jɛst tɔ navɛd ʒɛtʃ pʃɨnɔʃɔntsa dɔxut,Jest to nawet rzecz przynosząca dochód.,Jest to nawet rzecz przynoszona dochut.
i ptaʃɛk ɔtpɔvʲɛdʑaw,I ptaszek odpowiedział.,I ptaszek odpowiedział.
vɨɡlɔndali fspaɲʲalɛ f tʃɛrvɔnɨm mrɔku sɨpʲalɲi,Wyglądali wspaniale w czerwonym mroku sypialni.,Wyglądali wspaniałe w czerwonym roku sypialni.
bɨwɛm jɛʃtʃɛ vuftʃaz dɛmbɛm pʃɨkutɨm dɔ mʲɛjstsa i dɔ vwasnɛɡɔ miltʃɛɲʲa,"Byłem jeszcze wówczas dębem, przykutym do miejsca i do własnego milczenia.",Byłem jeszcze wówczas domem przykutym do miejsca i do własnego milczenia.
na vɨspɛ tsmɛntarnɔ̃ zapɨtawɛm zajmujɔnts ɔbɔk ɲʲɛj mʲɛjstsɛ w ɡɔndɔli,"Na Wyspę Cmentarną? — zapytałem, zajmując obok niej miejsce w gondoli.",Na wyspę centralną zapytałem zajmując obok niej miejsce w godzini
ɲʲɛ zbɛndɛ ɔtparwa rumjɛɲʲɔnts ɕɛ dʑivɔʒɔna,"Nie zbędę… — odparła, rumieniąc się, dziwożona.","Nie będę odparła, rumieniąc się dziwożona."
sɔ̃ narɔdɨ tʃɨstɛ i sɔ̃ brudnɛ,Są narody czyste i są brudne.,Są narody czyste i są brudne.
ʒɨtɕ tɔ jɛst pravʲɛ zafʃɛ ʒɨtɕ,Żyć to jest prawie zawsze „żyć”.,Żyć to jest prawie zawsze żyć
dla jakʲɛjɕ tam pʃɨtʃɨnɨ ɲʲɛ rɔspɔtʃɨnaliɕmɨ partji dɔmina,Dla jakiejś tam przyczyny nie rozpoczynaliśmy partii domina,Dla jakiejś tam przyczyny nie rozpocząliśmy partii domu?
dlatɛɡɔ ʒɛ tɔ dlatɛɡɔ ʒɛ tamtɔ,"Dlatego, że to, dlatego, że tamto.","Dlatego, że to dlatego, że tamto"
fʃɨstsɨ tʃtɛrɛj spɔɡlɔndaliɕmɨ ku ɲʲɛmu sɛrdɛtʃɲʲɛ,Wszyscy czterej spoglądaliśmy ku niemu serdecznie,Wszyscy czterej spoglądaliśmy ku niemu serdecznie.
tsɔ tɛras tɕfitʃɛ mazurɛk ʃɔpɛna,Co? — Teraz ćwiczę mazurek Chopina.,Co teraz czwarte mazurek szalona?
tʃasɛm pɛvnɛ mɨɕli nattɕɔŋɡajɔ̃ ɲʲɛ vʲadɔmɔ skɔnt i dlatʃɛɡɔ,Czasem pewne myśli nadciągają nie wiadomo skąd i dlaczego.,"Czasem pewne myśli nadciągają nie wiadomo, skąd i dlaczego?"
takʲɛ zvɨtʃajnɛ ɲʲɛ aɲi patɛtɨtʃnɛ aɲi tɕixɛ i tɨm ɲʲɛ pʃɨvʲɔ̃zawa ɡɔ dɔ ɕɛbjɛ,"Takie zwyczajne „nie”, ani patetyczne, ani ciche, i tym „nie” przywiązała go do siebie.","Takie zwykłe nie ani patologiczne, ani ciche i tym nie przywiązała go do siebie."
ʃtʃɛɡulnɛ bɨwɨ ɔtʃɨ startsa,Szczególne były oczy starca.,Szczególne były oczy starca.
druɡʲi ɡuzik na tʃɛtɕɔ̃,Drugi guzik na trzecią.,Drugi gatuzik na trzecią.
bɨwa zaɡrɔʒɔna snɛm,Była zagrożona snem.,Była zagrożona snem.
pɛŋka i dʒɛ ɕɛ f stʃɛmpɨ,Pęka i drze się w strzępy.,Pełka i dże się w stłumy.
tɛn mɔmɛnt ɔpɛratsɨjnɨ zaʃɛd znatʃɲʲɛ ftʃɛɕɲʲɛj,Ten moment operacyjny zaszedł znacznie wcześniej.,Ten moment operacyjny zaszedł znacznie wcześniej
juʃ xɨba ɲiɡdɨ ɲʲɛ bɛndɛ ɕɛ s xwɔpakami ɡaɲʲaw,Już chyba nigdy nie będę się z chłopakami ganiał.,Już chyba nigdy nie będę się z chłopakami ganiał.
dʑɛtskɔ sxɔvawɔ ɡwɔvɛ w ramjɔnax ɔswupʲawɛɡɔː ɔjtsa,Dziecko schowało głowę w ramionach osłupiałego ojca.,Dziedko schowało głowę w ramionach osłupiającego ojca.
na ʃtʃɛɲɕtɕɛ bɨwa zajɛnta vɨwɔntʃɲʲɛ sɔbɔ̃,Na szczęście była zajęta wyłącznie sobą.,Na szczęście była zajęta wyłącznie sobą.
f pʲɛrʃɨx lataɣ ʒɨtɕa ɲʲɛ vɔlnɔ dʑɛtska ɔddʑɛlatɕ ɔt matki,W pierwszych latach życia nie wolno dziecka oddzielać od matki.,W pierwszych latach życia nie wolno dziecka oddzielać od matki.
i tɔ ruvɲʲɛʒ bɨwɔbɨ ɲʲɛʃtʃɛɲɕtɕɛm,I to również byłoby nieszczęściem.,I to również byłoby nieszczęściem.
tʃɨʒbɨ umjaw pan tʃɨtatɕ f tsudʑɨɣ duʃax,Czyżby umiał pan czytać w cudzych duszach?,Czyżby umiał pan czytać w cudzy duchach?
muɕiʃ ɕɛ zdɔbɨtɕ na tɕɛrplivɔɕtɕ jɛʒɨ,"Musisz się zdobyć na cierpliwość, Jerzy.",Musisz się zdobyć na cierpliwość jeży.
ɲʲɛvʲɛm tsɔ ɕɛ dʑɛjɛ,"Nie wiem, co się dzieje.","Nie wiem, co się dzieje."
w jɛj ɔtʃax ukazawɨ ɕɛ vɛsɔwɛ bwɨski,W jej oczach ukazały się wesołe błyski.,W jej oczach ukazały się wesołe błyski.
z rɔvuf pʃɨdrɔʒnɨx pɔdɲʲɔswɨ ɕɛ stwumjɔnɛ bʒɛŋki,Z rowów przydrożnych podniosły się stłumione brzęki.,Z Romów przydrożnych podniosły się stłumione brzęki.
na pʲɛrʃɨm mʲɛjstsu ɕfʲɛnta trujtsa tɔmaʃ mann tsɛlinɛ mɔnsɛrlant,"Na pierwszym miejscu „święta trójca”: Tomasz Mann, Celine, Montherlant.","Na pierwszym miejscu święta trójca, to masz mann celinę motorlant."
f pɔʒɔntku dɛzaktɨvɔvawɛm tɔ,"W porządku, dezaktywowałem to.",W porządku deklarowałem to
jak mɔɡwɛm dɔpuɕtɕidʑ dɔ tʃɛɡɔɕ pɔdɔbnɛɡɔ,Jak mogłem dopuścić do czegoś podobnego?,Jak mogłem dopuścić do czegoś podobnego?
ktɔʑ znɔvu ʃɛd vʲɛnts tsɛzarɨ ɔtɕɛ̃ʒalɛ pɔvrutɕiw dɔ sfɛj wɔpatɨ,"Ktoś znowu szedł, więc Cezary ociężale powrócił do swej łopaty.","Ktoś znowuszedł więc cesary, ociężale powrócił do swej łopaty."
tɛɡɔ spɔtkaɲʲa pɔ kturɨm ɲʲɛ mɔɡwa juʃ ɔt ɲʲɛɡɔː ɔdɛjɕtɕ,"Tego spotkania, po którym nie mogła już od niego odejść.","Tego spotkania, po którym nie mogła już od niego odejść."
matɕuɕɔvi krɛf udɛʒɨwa dɔ ɡwɔvɨ,Maciusiowi krew uderzyła do głowy.,Matciuśowi krew uderzyła do głowy.
pɔtɛm listɨ listɨ listɨ,"Potem listy, listy, listy.",Potem listy listy listy.
ɡdɨ dɛʃtʃ minɔw pɔʃli pɔ ras pʲɛrʃɨ dɔː ɛmila dɔ dɔmu,"Gdy deszcz minął, poszli po raz pierwszy do Emila do domu.",Gdy deszcz minął poszli po raz pierwszy do Emila do domu.
alɛ mama s tɕɔtɕɔ̃ rɔzmavʲawɨ i ɲits ɲʲɛ vidʑɔ̃,Ale mama z ciocią rozmawiały i nic nie widzą.,Ale mama z ciocią rozmawiały i nic nie widzą.
tɔ jak wɨkaɲʲɛ ɕlinɨ ɡdɨ ɕɛ xtsɛ pitɕ,"To jak łykanie śliny, gdy się chce pić.","To jak łykanie silony, gdy się chce pić."
ɲiʒɛj f tɕɛmnɔɕtɕi sɔ̃ parki,"Niżej, w ciemności, są parki.",Niżej w ciemności są parki.
kɔʒɨstajɔnts s tɛj spɔsɔbnɔɕtɕi filib vɨsunɔw ɕɛ pɔspʲɛʃɲʲɛ zɛ sfɛj krɨjufki,Korzystając z tej sposobności Filip wysunął się pospiesznie ze swej kryjówki.,Korzystając z tej sposobności filb wysunął się pospiesznie ze swej kryjówki.
jɛdnɔrɛŋki rɔzɛjʒaw ɕɛ naɔkuw,Jednoręki rozejrzał się naokół.,Jednoręki rozejrzał się naokul.
ɲʲɛ zdʑiviwɔ ɡɔ tɔ zbɨtɲʲɔ,Nie zdziwiło go to zbytnio.,Nie zdziwiło go to zbytnie.
vɔjɔvɲik muɕi bɨtɕ ɕmʲawɨ,Wojownik musi być śmiały.,wojownik musi być śmiały.
alɛ ɲʲɛbuj ɕɛ ɲits tɕi ɲʲɛ zrɔbjɛ,"Ale nie bój się, nic ci nie zrobię.",Ale nie bój się nic ci nie zrobię.
takix jak tɨ ɲʲɛ drɛntʃɨ dɛmɔn ruxu,Takich jak ty nie dręczy demon ruchu.,Takich jak ty nie dręczy dom ruchu.
pɔtɛm usnɔw,Potem usnął.,Potem unął.
na ʃtʃɛɲɕtɕɛ zabjɛk ɲʲɛbɨw mi ɔptsɨ,Na szczęście zabieg nie był mi obcy.,Na szczęście zabieg nie był mi obcy.
tɔ znuv zalɛʒɨ ɔt ɔkɔlitʃnɔɕtɕi kturɛ ɡɔ vɨvɔwawɨ,"To znów zależy od okoliczności, które go wywołały.","To znów zależy od okoliczności, które go wywołały"
zmʲanɨ zaʃwɨ ruvɲʲɛʃ na nɔvɛj tʃɛɲɕtɕi tsmɛntaʒa,Zmiany zaszły również na nowej części cmentarza.,Zmiany zasły również na nowej części cętaża.
utʃuwɛm mimɔvɔlnɨ drɛʒdʒ ɡrɔzɨ,Uczułem mimowolny dreszcz grozy.,Uczułem imowolny dreżdż grozy.
vɨlɔtɨ rɨɲʲɛn pɔtfɔrɨ z ɔtfartɨmi paʃtʃami,Wyloty rynien — potwory z otwartymi paszczami.,Wyloty rynien potwory z otwartymi płaszczami.
ɔfitsɛr staw na ulitsɨ i vɨmɨɕlaw kɔmuɕ ɔstatɲimi swɔvɨ,Oficer stał na ulicy i wymyślał komuś ostatnimi słowy.,Oficer stał na ulicy i wymyślał komuś ostatnimi słowy.
juʃ pɔtɨm pɔstɛmpku ɔt razu pɔznawbɨm frantsuza,Już po tym postępku od razu poznałbym Francuza!,Już po tym postępku od razu poznałbym Francuza
pɔza tɨm pʃɨ stɔsuŋku zaxɔvujɛ ɕɛ tɛʒ dʑivɲʲɛ,Poza tym przy stosunku zachowuje się też dziwnie.,Poza tym przy stosunku zachowaje się też dziwnie.
kaʒdɨ tɨp ma sfɔjɛ dva ɲʲɛɔmal pʃɛtɕivnɛ bjɛɡunɨ,Każdy typ ma swoje dwa nieomal przeciwne bieguny.,Każdy ty ma swoje dwa nieomal przeciwne bieguny.
fɔrtɛtsɛ zbuʒɔnɔ dɔ ʃtʃɛntu,Fortecę zburzono do szczętu.,Fabryce zbużono do szczytu.
f tɨm vwaɕɲʲɛ sɛŋɡ zavɔwaw pɔdlaɕak fstɨdlivʲɛ ɔbmatsujɔndʑ vɨbʲitnɔ̃ pɔzɔstawɔɕtɕ,"W tym właśnie sęk! — zawołał Podlasiak, wstydliwie obmacując wybitną pozostałość.","W tym właśnie sędzi zawołał polaśak wstydliwe, obmacując wybitną pozostałość"
kɔmuʃ tɔ swuʒɨʃ,Komuż to służysz?,Komuż to służysz?
ʒɛɡnajtɕɛ rɔzlɛɡawɔ ɕɛ tsɔraz vɨʒɛj i tsɔras tɕiʃɛj f prɔmjɛnnɨx ɔt swɔɲtsa pʃɛstfɔrax,Żegnajcie! — rozlegało się coraz wyżej i coraz ciszej w promiennych od słońca przestworach.,Żegnajcie rozlegało się coraz wyżej i coraz ciszej w promiennych od słońca przestępach.
w intɛrnɛtɕɛ napisali ʒɛ ɲʲɛ tɛstujɔ̃ na zvʲɛʒɛntax,"W internecie napisali, że nie testują na zwierzętach.","W interescie napisali, że nie testują na zwierzętach"
ɲʲɛvʲɛlu xɨba,Niewielu chyba.,Nie wielu chyba.
ɡdɨ jɔ̃ pʃɨvitaw ɲʲɛmʲaw juʃ ɔxrɨpwɛɡɔ ɡwɔsu i tsawɨ tʃar zɲikw,"Gdy ją przywitał, nie miał już ochrypłego głosu i cały czar znikł.","Gdy ją przywitał, nie miał już ohypłego głosu i cały czas znikł."
w iɣ vwɔsax rɔsnɔ̃ vɔdɔrɔstɨ w ɡranatɔvɛj pɔwɨskujɔntsɛj vɔdʑɛ,"W ich włosach rosną wodorosty, w granatowej, połyskującej wodzie.",W ich włosach rozną wodorysy w galantomowej połyskującej wodze.
vɨɡlɔndam za firaŋkɛ,Wyglądam za firankę.,Wyglądam za firankę.
kʲɛdɨ muviw ɔ vidmɔvɛj tfaʒɨ ɔtʃɨ xannɨ rɔsʃɛʒɨwɨ ɕɛ pʃɛraʒɛɲʲɛm,"Kiedy mówił o widmowej twarzy, oczy Hanny rozszerzyły się przerażeniem.",Kiedy mówił o widmownej twarzy oczy Chiny rozszerzyły się przerażeniem.
pʃɛpɨʃna brɔɲ pɔxfaliw zɛ ʃtʃɛrɨm uznaɲʲɛm rɨval bjɔrɔnts pistɔlɛd dɔ rɛŋki,"Przepyszna broń! — pochwalił ze szczerym uznaniem rywal, biorąc pistolet do ręki.","Przepyszna broń pochwalał ze szczerym uznaniem rywal, biorąc pistolet do ręki."
xtɕawɛm ɕɛ usunɔɲtɕ a ɔn ɔ valiskɛ zavadʑiw,"Chciałem się usunąć, a on o walizkę zawadził.","Chciałem się usunąć, a on o waliskę zaprowadził."
mɔndrɨ pɔlak pɔ ʃkɔdʑɛ,Mądry Polak po szkodzie.,Mądry polak po szkodzie.
uvʲɛlbjaw tɛ pɔzɨtsjɛ,Uwielbiał tę pozycję.,Upewniał tę pozycję
takʲɛ tsɔ tɔ ɲʲɛ xɔdʑɔ̃ pɔː ulitsɨ tsɔ ɕɛdʑɔ̃ w dɔmu,"Takie, co to nie chodzą po ulicy, co siedzą w domu.","Takie co to nie chodzą po ulicy, co siedzą w domu."
dɔstawa pɔkuj,Dostała pokój.,Dostała pokój.
pɔtɛm ɕad naɡʲi pʃɨ fɔrtɛpʲaɲʲɛ i zatʃɔw ɡratɕ,Potem siadł nagi przy fortepianie i zaczął grać.,Potem siad nagi przy fortepianie i zaczął grać.
dʑɛtskɔ kɔʒɨsta z dɔbrɔdʑɛjstf ubɛspʲɛtʃɛɲ spɔwɛtʃnɨx,Dziecko korzysta z dobrodziejstw ubezpieczeń społecznych.,Dzięki korzyścia z dobrodziejstw ubezpieczenień społecznych
jakʲɛ jɛzd ɡɔdwɔ na tɛj xɔrɔŋɡvi,Jakie jest godło na tej chorągwi?,Jakie jest gotło na tej chorobi?
pʲɛtrɛk na fɔlvarku martfiwa ɕɛ panna karɔlina,Pietrek na folwarku… — martwiła się panna Karolina.,Pierwszek na folwarku martwiła się panna Karolina.
vɨɡlɔndawa najvɨʒɛj na lad dvadʑɛɕtɕa,Wyglądała najwyżej na lat dwadzieścia.,Wyglądała najwyżej na lat dwadzieścia.
mimɔ tɔ kɔxam tɕɛ,Mimo to kocham cię.,Mimo to kocham cię.
tɕɔ̃ʒa bɨwabɨ dla stɛlli pravdʑivɔ̃ katastrɔfɔ̃,Ciąża byłaby dla Stelli prawdziwą katastrofą.,Cięża byłaby dla sterli prawdziwą katastrofą
pʃɛs pʲɛrʃɨ tɨdʑɛɲ zapisɨvaw matɕuɕ ilɛ dɲi jɛzd w drɔdʑɛ,"Przez pierwszy tydzień zapisywał Maciuś, ile dni jest w drodze.","Przez pierwszy tydzień zapisywał matciuś, ile dni jest w drodze."
zavaxaw ɕɛ i zamilkw,Zawahał się i zamilkł.,Zahachał się i zamilkł.
fraɡmɛnd bɛs kɔɲtsa,Fragment bez końca.,Francjent bez końca.
a ʑlɛ tɕi u nas,A źle ci u nas?,A źle ci u nas.
ɲʲɛbɛspʲɛtʃnɨ zakrɛnt pʃɛt tɔbɔ̃,Niebezpieczny zakręt przed tobą,Niebezpieczny zakręty przed tobą
tɔ jɛst kuʒɛ jajkɔ,To jest kurze jajko.,To jest kuże jajko.
ftɛdɨ ɲʲɛ pwakaw,Wtedy nie płakał.,Wtedy nie płakał.
pʃɨpɔminaw pilɔta kturɨ dla marɨnaʒa jɛst ftɕɛlɛɲʲɛm tɛɡɔ tsɔ zaswuɡujɛ na najvɨʃʃɛ zaufaɲʲɛ,"Przypominał pilota, który dla marynarza jest wcieleniem tego, co zasługuje na najwyższe zaufanie","Przypominał pilota, który dla marynarza jest wcieleniem tego, co zasługuje na najwyższe zaufanie"
alɛ u vuja tʃɛkawa na ɲʲɛɡɔ dɔbra nɔvina,Ale u wuja czekała na niego dobra nowina.,Ale u wuju czekała na niego dobra nowa.
ja panu tsɔɕ pɔvʲɛm,Ja panu coś powiem.,Ja panu coś powiem.
nɔ bɔ jaɡʒɛ,"No, bo jakże?","No, bo jakże."
dla ɲʲɛj ta rɔzmɔva bɨwa skɔɲtʃɔna,Dla niej ta rozmowa była skończona.,Dla niej ta rozmowa była skończona.
na bɔɡ z ɲim,Na bok z nim.,Na bok z nim.
pamjɛntawa tɨlkɔ jɔdwɨ s tamtɛj nɔtsɨ,Pamiętała tylko jodły z tamtej nocy.,Pamiętała tylko jądły z tamtej nocy.
fʃɨstkɔ ɕɛ spɛwɲiwɔ fʃɨstkɔ,"Wszystko się spełniło, wszystko!",Wszystko się spełniło wszystko.
aɲi s tɛj aɲi z ʒadnɛj,"Ani z tej, ani z żadnej.",Ani z tej ani z żadnej.
a ɡdɨbɨ taɡ bɨwɔ,A gdyby tak było?,A gdyby tak było?
tɔ nalɛʒɨ pɔttʃɨmadʑ za fʃɛlkɔ̃ tsɛnɛ,To należy podtrzymać za wszelką cenę.,To należy podtrzymać za wszelkie cenę
nad vɔdɔ̃ bɛwkɔtsɔntsɔ̃ stawa drɛvɲʲana ka vʲarɛŋka f kturɛj jadaw truskafki zɛ ɕmʲɛtanɔ̃,"Nad wodą bełkocącą stała drewniana ka wiarenka, w której jadał truskawki ze śmietaną.","Nad wodą błęczącą stała drewniana ka wiarenka, w której jadał truskawki ze śmietaną."
natʃɛlɲik ma dalɛkʲɛ ɲʲɛbjɛskʲɛ ɔtʃɨ,"Naczelnik ma dalekie, niebieskie oczy.",Naczelnik ma dalekie niewielkie oczy.
tɔ znatʃɨ ɲʲɛ miʑawa ɕɛ z ʒadnɔ̃,To znaczy nie miziała się z żadną.,To znaczy nie miiała się z żadną.
tɨlɛ jɛst marnɨɣ ʒɨvɔtuf ludʑi ɔ vʲɛlkim dʑɛlɛ,Tyle jest marnych żywotów ludzi o wielkim dziele.,Tyle jest marnych żywotów ludzi o wielkim dziele
skɔnt pan tɔ fʃɨstkɔ mɔʒɛ vʲɛdʑɛdʑ zapɨtaw ʃtʃɛʒɛ zdumjɔnɨ,Skąd pan to wszystko może wiedzieć? — zapytał szczerze zdumiony.,Skąd pan to wszystko może wiedzieć? — zapytał szczerze zdumiony.
ɲʲɛ umjɛli mu natɔ ɔtpɔvʲɛdʑɛtɕ,Nie umieli mu na to odpowiedzieć.,Nie umieli mu na to odpowiedzieć.
ɲʲɛzmʲɛʒɔna ɕiwa ɛlɛktrɨtʃna zastɔmpiwa ɕiwɛ kɔɲi i vɔwuf,Niezmierzona siła elektryczna zastąpiła siłę koni i wołów.,Niezmierzona siła elektryczna zastąpiła siłę koni i wołów.
maɡʲitʃnɛ i tɔ w vɨsɔkim stɔpɲʲu rɔzviɲʲɛntɛ,Magiczne; i to w wysokim stopniu rozwinięte.,Masiczne i to w wysokim stopniu rozwinięte
ftɛm ɔtfɔʒɨwɨ ɕɛ dʒvi,Wtem otworzyły się drzwi.,Wtem otworzyło się drzwi.
muɡwbɨ pʃɨjɕtɕ,Mógłby przyjść.,Mógłby przyjść.
ɲʲɛma tɛɡɔ zwɛɡɔ tsɔ bɨ na dɔbrɛ ɲʲɛ vɨʃwɔ,"Nie ma tego złego, co by na dobre nie wyszło.","Nie ma tego złego, co by na dobre nie wyszło."
tʃɨ pɔdɔba tɕi ɕɛ ta mɨɕl lizɔ,"Czy podoba ci się ta myśl, Lizo?",Czy podoba ci się ta myśl Lizo?
bɨwa blada,Była blada.,Była blada.
ɛmil zatʃɛrvʲɛɲiw ɕɛ bɔː uvaʒaw ʒɛ pɔvʲɛdʑaw tɔ ɲʲɛ pɔtʃɛbɲʲɛ,"Emil zaczerwienił się, bo uważał, że powiedział to nie potrzebnie.","Emil zawrócił się, bo uważał, że powiedział to nie potrzebnie."
ɛva zbladwa vidʑaw jɔ̃ ɕɛdʑawa f pʲɛrʃɛj waftsɛ,"Ewa zbladła, widział ją, siedziała w pierwszej ławce.",Ewa zbladła widził ją siedzała w pierwszej ławce.
zbɨt tɕɛ̃ʃkɔ vzɡlɛndɛm ɲʲɛj zaviɲiwɛm,Zbyt ciężko względem niej zawiniłem.,Zbyt ciężko względem niej zawinąłem.
tak pʃɨpɔminam sɔbjɛ zwɔtɔ̃ tʃarɛ,Tak — przypominam sobie… złotą czarę…,Tak przypominam sobie złotą czarnę.
bɔiʃ ɕɛ tɕɛmnɔɕtɕi,Boisz się ciemności.,Boisz się ciemności.
vidʑɛ wɔkʲɛtɕ s pʃɨtʃɛpʲɔnɔ̃ tartʃɔ̃ xɛrbɔvɔ̃,Widzę łokieć z przyczepioną tarczą herbową.,Widzę łąkęć z przytrzepioną tarczą herbawą.
a ɲʲɛbɔ ɲʲɛ mɔʒɛ ɕɛ kivatɕ,A niebo nie może się kiwać.,A niebo nie może się kiwać.
ɔn ɲʲɛ rɔbʲiw s tɛɡɔ tajɛm ɲitsɨ,On nie robił z tego tajem nicy.,On nie robił z tego tajemnicem nicy.
a tɛ znaki tu na ɔbvɔdʑɛ kɔwa,"A te znaki tu, na obwodzie koła?",A te znaki tu na obwodzie koła.
na xɔrɨzɔɲtɕɛ vidɲʲaw budɨnɛk kturɛɡɔ ftʃɛɕɲʲɛj tam ɲʲɛ bɨwɔ,"Na horyzoncie widniał budynek, którego wcześniej tam nie było.","Na choryzowanie widniał budynek, którego wcześniej tam nie było."
dɔkɔnt ɕɛ pan tɛraz vɨbjɛra zaɡadnɛwa,Dokąd się pan teraz wybiera? — zagadnęła.,Dokąd się pan teraz wybiera zagadnęła.
vwaʑimɨ dɔ pɔkɔju pʃɛs ɔkʲɛŋkɔ z waʑɛŋki,Włazimy do pokoju przez okienko z łazienki.,Własimy do pokoju przez okienko z łazienki.
ɲʲɛ majɔ̃ tfaʒɨ vɨʒarwa jɛ tɕɛmnɔɕtɕ,"Nie mają twarzy, wyżarła je ciemność.","Nie mają twarzy, wyrażała je ciemność."
na mɔim kɔɲʲu pɔ pɔtʃtɛ,Na moim koniu po pocztę!,Na moim końcu po pocztę.
tɛn rɛdaktɔr jɛst strɔnɲitʃɨ,Ten redaktor jest stronniczy.,Ten sektor jest stronniczy
vʲɛnts mi pɔvʲɛts tɔ swɔvɔ jɛdɨnɛ tʃɨ kɔxaʃ,Więc mi powiedz to słowo jedyne: czy kochasz?,"Więc mi powiedz to słowo, jedyne czy kochasz."
tʃɨ tɨ vʲɛʒɨʒ vɛ fʃɨstkɔ tsɔ pʃɛtʃɨtaʃ w intɛrnɛtɕɛ,Czy Ty wierzysz we wszystko co przeczytasz w internecie?,"Czy ty wierzysz we wszystko, co przecież w interesie?"
fʃɨstkɔ zbliʒɨwɔ ɕɛ znɔvu dɔ pɨtɔna,Wszystko zbliżyło się znowu do pytona.,Wszystko zbliżyło się znowu do pytania.
ɲʲɛmam natɔ tʃasu,nie mam na to czasu,Nie mam na to czasu.
vɨjʒaw tʃɨ vɨsɔkɔ tʃɨ mɔʒna vɨskɔtʃɨtɕ,"Wyjrzał, czy wysoko: czy można wyskoczyć.","Wyjrzał trzy wysoko, czy można wyskoczyć."
tʃuvawɛm nad babuɲʲɔ̃ pʃɛs tsawɔ̃ nɔts,Czuwałem nad babunią przez całą noc.,Czułem nad banią przez całą noc.
tartʃa xɛrbɔva vrɔswa w vɛ̃ʒa i rɔzlawa ɕɛ,Tarcza herbowa wrosła w węża i rozlała się.,Tarcza Henrywa wrosła w węża i rozłała się.
i paɲi i watɛk i matka,"I pani, i Łatek, i matka.",I pani i łatek i matka.
zamkɲʲɛɲtɕɛ f sɔbjɛ,Zamknięcie w sobie.,zamknięcie w sobie.
